Tweet,Timestamp
Appalled by the government's inaction regarding monsoon. Our hearts are with you. 💔 💔 ,2024-02-13 03:41:48.523943
"In sorrow over the victims of wildfire. Together, we can overcome. 😞",2024-01-19 15:13:32.449789
Appalled by the government's inaction regarding typhoon. Stay indoors and stay safe. 💔 💔 #emergencyplan,2024-03-29 12:43:51.876072
Critical situation in hurricane. Let’s support each other. 🌬️  #avalanche #typhoon ##naturaldisaster ##urgenthelpneeded ##staysafe ##staystrong ##disaster,2023-12-25 23:08:55.200371
Critical situation in wildfire. Stay calm and stay strong. 💔,2023-12-19 12:15:08.629077
Praying for those affected by wildfire. Please share! ⛈️,2023-11-16 13:40:14.954423
Angry at the government's inaction regarding monsoon. Stay united in this crisis. 💔 💔 #emergencyplan #emergencyresponse,2023-12-25 07:25:27.719247
Heartbroken over the victims of tornado. Help is on the way. 💔 ,2024-03-29 23:13:27.174521
Important reminder: avalanche. Please share! 😔,2024-03-10 07:43:35.390513
"With heavy hearts, we the victims of monsoon. Help is on the way. 💔 #preparedness #emergencyplan",2024-01-19 11:46:06.991981
Disappointed with the government's inaction regarding storm. Stay indoors and stay safe. 😔 😔,2023-12-29 18:31:49.691066
Disgusted with the government's inaction regarding flood. Stay indoors and stay safe. 💔 💔,2024-03-28 14:31:23.899493
Stay safe amidst tornado. Please share! 😔 #preparedness,2024-01-01 05:06:30.720317
Urgent call to action: tsunami. Stay tuned for updates. 😞,2024-02-16 11:46:18.048049
Infuriated with the government's inaction regarding wildfire. Stay prepared. 💔 💔,2023-11-13 00:09:58.668017
Emergency situation due to tornado. Help is on the way. 💔 #thunderstorm ##naturaldisaster ##urgenthelpneeded ##staysafe ##staystrong ##disaster,2023-11-01 09:36:27.413146
Important reminder: monsoon. Stay strong! 🌧️,2024-03-25 20:19:24.671921
Frustrated about the government's inaction regarding tornado. Let’s support each other. 😞 😞,2024-04-22 22:54:08.947678
Critical situation in cyclone. Help is on the way. 😭,2024-03-19 10:53:52.067936
In mourning for the victims of thunderstorm. Please share! 😔 #disasterrecovery #safetyfirst,2024-02-10 09:47:29.101476
Angry at the government's inaction regarding drought. Stay alert and stay safe. 💔 💔 #preparedness #wildfire #storm ##naturaldisaster ##urgenthelpneeded ##staysafe ##staystrong ##disaster,2024-02-23 14:30:46.079136
Infuriated with the government's inaction regarding earthquake. Let’s support each other. 😔 😔,2024-03-10 00:13:35.538263
Grieving for the victims of hurricane. Stay tuned for updates. 😔 #typhoon #hurricane ##naturaldisaster ##urgenthelpneeded ##staysafe ##staystrong ##disaster,2024-02-06 22:31:09.538428
Heartbroken over the victims of earthquake. Stay strong! 😣,2023-11-22 09:25:28.480690
"Shocking news about hurricane. Together, we can overcome. 💦",2024-01-20 03:47:16.527499
Frustrated about the government's inaction regarding flood. Stay alert and stay safe. 😭 😭,2023-11-01 17:20:39.261284
Condolences to the victims of hurricane. Please share! 💔,2024-03-31 14:45:36.468707
Outraged by the government's inaction regarding storm. Let’s support each other. 😭 😭,2024-03-01 22:03:56.055525
Important reminder: avalanche. Stay united in this crisis. 😣 ,2024-02-18 09:21:20.249590
Alert: cyclone. Evacuation orders issued. 💔,2024-01-19 21:35:21.314122
My thoughts are with the victims of avalanche. Stay safe! 😣,2024-04-08 10:37:32.449049
Crisis in earthquake. Spread the word. ⚠️,2023-12-10 13:09:16.913714
